Date,Units,NAV,Amount
25-02-2025,250.6573489,39.8951,10000.0
01-04-2025,245.3722788,40.7544,10000.0
21-04-2025,235.2288071,42.5118,10000.0
28-04-2025,237.7052882,42.0689,10000.0
02-05-2025,241.6357776,41.3846,10000.0
06-05-2025,242.7844463,41.1888,10000.0
02-06-2025,233.4648519,42.833,10000.0
04-06-2025,232.2071288,43.065,10000.0
09-07-2025,219.3439423,45.5905,10000.0
10-07-2025,219.4517656,45.5681,10000.0
11-08-2025,224.7756739,44.4888,10000.0
13-08-2025,224.052984,44.6323,10000.0
01-12-2025,203.6000562,49.1159,10000.0
11-12-2025,207.73,48.1371,10000.0
02-01-2026,419.844,47.6343,20000.0
03-02-2026,429.14,46.8378,20101.0
05-03-2026,441.499,45.2979,20000.0
02-04-2026,1135.708,44.0232,50000.0
